Nazwa,Cena,Nr referencyjny,Adres zdjecia,Rozmiary,Cena przed obnizka,Cena po obnizce,Opis,Material wykonania,Kolor
Pumps red,490,   D00580-1459-058,https://baldowski.b-cdn.net/10328-new_cart_photo/pumps-red.jpg,"36,40,35 ON REQUEST,37 ON REQUEST,38 ON REQUEST,39 ON REQUEST,41 ON REQUEST",,,Pumps red on a 10-centimeter heel. ,Made of natural leather., red
Green sandals,670,   D01988-0621- 030,https://baldowski.b-cdn.net/10664-new_cart_photo/green-sandals.jpg,"36,37,38,39,40",,,Green sandals on a 1-centimeter heel. ,Made of natural leather., green
Pumps green,530,   D03270-4330-002,https://baldowski.b-cdn.net/10979-new_cart_photo/pumps-green.jpg,"36,38,39",,,"Pumps green on a 7,5-centimeter heel. ",Made of natural leather., green
Green ankle boots,640,   D03210-2835-005,https://baldowski.b-cdn.net/10958-new_cart_photo/green-ankle-boots.jpg,"36,41",,,Green ankle boots on 8-centimeter heel. ,Made of natural leather., green
Green heels,490,   D00580-1451-280,https://baldowski.b-cdn.net/10940-new_cart_photo/green-heels.jpg,"36,38,39,40,41",,,Green heels on a 10-centimeter heel. ,Made of natural leather., green
Black ankle boots,410,   D02302-3262-009/S06,https://baldowski.b-cdn.net/6604-new_cart_photo/black-ankle-boots.jpg,40,,,Black ankle boots on a 10-centimeter heel., Made of natural leather. ,"outer upper: natural leather, rubber"
Gold coloured sandals,430,   D02563-3436-010,https://baldowski.b-cdn.net/9667-new_cart_photo/gold-coloured-sandals.jpg,37,,,Gold coloured sandals on a 9-centimeter heel. ,Made of natural leather., gold
Black ankle boots,670,   D03350-4618-001 /Z,https://baldowski.b-cdn.net/10869-new_cart_photo/black-ankle-boots.jpg,"35,36,37,38,40",,,Black ankle boots on a 2-centimeter heel. ,Made of natural leather., black
Black ankle boots,700,   D03332-3359-001,https://baldowski.b-cdn.net/10860-new_cart_photo/black-ankle-boots.jpg,"35,36,38,39,40",,,Black ankle boots on 7-centimeter heel. ,Made of natural leather., black
Green ankle boots,640,   D03328-3359-003,https://baldowski.b-cdn.net/10847-new_cart_photo/green-ankle-boots.jpg,"36,39,40,41",,,Green ankle boots on 7-centimeter heel. ,Made of natural leather., green
Black boots,870,   D03322-4330-003,https://baldowski.b-cdn.net/10837-new_cart_photo/black-boots.jpg,"35,36,38,39,40",,,"Black boots on a 7,5-centimeter heel. ",Made of natural leather., black
Green ankle boots,640,   D03303-3359-004,https://baldowski.b-cdn.net/10824-new_cart_photo/green-ankle-boots.jpg,"36,38,40,41",,,Green ankle boots on 7-centimeter heel. ,Made of natural leather., green
Black ankle boots,700,   D03300-3359-004/Z,https://baldowski.b-cdn.net/10814-new_cart_photo/black-ankle-boots.jpg,"35,36,37,38,39,40,41",,,Black ankle boots on 7-centimeter heel. ,Made of natural leather., black
Red boots,790,   D02353-7633-002,https://baldowski.b-cdn.net/10753-new_cart_photo/red-boots.jpg,"35,36,37,40,41",,,Red boots on a 7-centimeter heel. ,Made of natural leather., red
Green pumps,490,   D00580-1459-059,https://baldowski.b-cdn.net/10707-new_cart_photo/green-pumps.jpg,"36,39,40,41,35 ON REQUEST,37 ON REQUEST,38 ON REQUEST",,,Green pumps on a 10-centimeter heel.,Made of natural leather., green
Heels beige,520,   D03291-1451-002,https://baldowski.b-cdn.net/10698-new_cart_photo/heels-beige.jpg,"36,39,35 ON REQUEST,37 ON REQUEST,38 ON REQUEST,40 ON REQUEST,41 ON REQUEST",,,Beige coloured heels on a 10-centimeter heel. ,Made of natural leather., beige
Pumps burgundy,560,   D03066-4330-004,https://baldowski.b-cdn.net/10690-new_cart_photo/pumps-burgundy.jpg,"36,38,39,40,35 ON REQUEST,37 ON REQUEST,41 ON REQUEST",,,"Pumps burgundy on a 7,5-centimeter heel. ",Made of natural leather., burgundy
Navy blue ankle boots,700,   D03300-3359-003/P2/D03300-3359-005,https://baldowski.b-cdn.net/10652-new_cart_photo/navy-blue-ankle-boots.jpg,"35,36,37,38,39,40,41",,,Navy blue ankle boots on 7-centimeter heel. ,Made of natural leather., navy blue
Navy blue loafers,540,   W00507-8321-026/P,https://baldowski.b-cdn.net/10645-new_cart_photo/navy-blue-loafers.jpg,"35,36,37,38,39,40,41",,,"Navy blue loafers on 2,5-centimeter heel. ",Made of natural leather., navy blue
