Nazwa,Cena,Nr referencyjny,Adres zdjecia,Rozmiary,Cena przed obnizka,Cena po obnizce,Opis,Material wykonania,Kolor
Pumps cappuccino,420,   D02707,https://baldowski.b-cdn.net/8201-new_cart_photo/copy-of-pumps-green.jpg,"35,36,37,40,41",,,"Pumps cappuccino on a 7,5-centimeter heel. ",Made of natural leather, cappuccino
Black pumps,340,   D03037-4330-007,https://baldowski.b-cdn.net/8629-new_cart_photo/copy-of-black-pumps.jpg,"36,37",,,"Black pumps on a 7,5-centimeter heel. ",Made of natural leather., black
Multicoloured pumps,390,   D03037-4330-008,https://baldowski.b-cdn.net/8637-new_cart_photo/multicoloured-pumps.jpg,"36,37,40",,,"Multicoloured pumps on a 7,5-centimeter heel. ",Made of natural leather., multi-color
Beige flat shoes,520,   D00045-KLIN-010/P2/D0045-KLIN-013,https://baldowski.b-cdn.net/8518-new_cart_photo/beige-flat-shoes.jpg,"35,36,37,38,39,40,41",,,Beige flat shoes on a 4-centimeter heel. ,Made of natural leather., beige
Black flat shoes,520,   D00045-KLIN-004,https://baldowski.b-cdn.net/8898-new_cart_photo/copy-of-black-flat-shoes.jpg,"36,37,38,40",,,Black flat shoes on a 4-centimeter heel. ,Made of natural leather., black
Black flat shoes,390,   D00488/D czarny wąż+zamsz,https://baldowski.b-cdn.net/9450-new_cart_photo/black-flat-shoes.jpg,,,,Black flat shoes on a 4-centimeter heel. ,Made of natural leather., black
Black flat shoes,540,   W00507-8321-025/P2/W00400-8321-005,https://baldowski.b-cdn.net/3116-new_cart_photo/black-flat-shoes.jpg,"35,36,37,38,39,40,41",,,Black flat shoes on 2-centimeter heel. ,Made of natural leather., black
Flat shoes in nude colour,490,   W00507-8321-019/W00400-8321-025,https://baldowski.b-cdn.net/6486-new_cart_photo/flat-shoes-in-nude-color.jpg,"38,39,41,35 ON REQUEST,36 ON REQUEST,37 ON REQUEST,40 ON REQUEST",,,Flat shoes in nude colour on 2-centimeter heel. ,Made of natural leather.,colour: nude
Flat shoes grey,560,   D02717-8321-008,https://baldowski.b-cdn.net/7686-new_cart_photo/flat-shoes-grey.jpg,"35,37",,,Flat shoes grey on 2-centimeter heel. ,Made of natural leather., grey
Flat shoes brown,490,   D02717-8321-002,https://baldowski.b-cdn.net/7476-new_cart_photo/flat-shoes-brown.jpg,"38,39,40,41",,,Brown flat shoes on 2-centimeter heel. ,Made of natural leather., brown
Flat shoes brown,490,   D02717-8321-007,https://baldowski.b-cdn.net/7487-new_cart_photo/flat-shoes-brown.jpg,"36,37,38,39",,,Brown flat shoes on 2-centimeter heel. ,Made of natural leather., brown
Black flat shoes,480,   D02644-8321-008,https://baldowski.b-cdn.net/7652-new_cart_photo/black-flat-shoes-.jpg,"36,39,40",,,Black flat shoes on 2-centimeter heel. ,Made of natural leather., black
Black flat shoes,530,   D02820-8321-001,https://baldowski.b-cdn.net/9599-new_cart_photo/black-flat-shoes.jpg,"36,37,38,39,35 ON REQUEST,39 ON REQUEST,40 ON REQUEST,41 ON REQUEST",,,Black flat shoes on 2-centimeter heel. ,Made of natural leather., black
Black flat shoes,480,   D02644-8321-007,https://baldowski.b-cdn.net/7641-new_cart_photo/black-flat-shoes-.jpg,"38,41",,,Black flat shoes on 2-centimeter heel. ,Made of natural leather., black
Black flat shoes,520,   W00481-8321-001,https://baldowski.b-cdn.net/5566-new_cart_photo/black-flat-shoes-.jpg,"37,39,35 ON REQUEST,36 ON REQUEST,38 ON REQUEST,40 ON REQUEST,41 ON REQUEST",,,Black flat shoes on 2-centimeter heel. ,Made of natural leather., black
Flat shoes in nude colour,480,   D02644-8321-012,https://baldowski.b-cdn.net/7998-new_cart_photo/flat-shoes-in-nude-colour.jpg,"35,36,39,40",,,Flat shoes in nude colour on 2-centimeter heel. ,Made of natural leather.,colour: nude
Flat shoes camel,490,   D02644-8321-016,https://baldowski.b-cdn.net/8871-new_cart_photo/flat-shoes-camel.jpg,"37,40",,,Flat shoes camel on 2-centimeter heel. ,"Made of natural leather, suede",colour: camel
Multicoloured flat shoes,450,   W00481-8321-003,https://baldowski.b-cdn.net/8766-new_cart_photo/multicoloured-flat-shoes.jpg,"36,39,40",,,Multicoloured flat shoes on 2-centimeter heel.,Made of natural leather., blue 
Flat shoes multicolor,500,   D02420-0046-013,https://baldowski.b-cdn.net/8727-new_cart_photo/flat-shoes-multicolor.jpg,"37,38,39",,,lat shoes multicolor on 3-centimeter heel. ,Made of natural leather.,multicolor
Beige wedding heels,420,   D01545-3359-009,https://baldowski.b-cdn.net/8846-new_cart_photo/beige-wedding-heels.jpg,"39,41,35 ON REQUEST,36 ON REQUEST,37 ON REQUEST,38 ON REQUEST,40 ON REQUEST",,,Beige heels on a 7-centimeter heel.,Made of natural leather., beige
Gold coloured heels,520,   D02821-3359-001,https://baldowski.b-cdn.net/8741-new_cart_photo/gold-coloured-heels.jpg,"36,37,38,39,40,41",,,Gold coloured  heels on a 7-centimeter heel. ,Made of natural leather., gold
Black heels,490,   D02443-2835-006,https://baldowski.b-cdn.net/6588-new_cart_photo/black-heels.jpg,"35,37,39,41,36 ON REQUEST,38 ON REQUEST,40 ON REQUEST",,,Czarne szpilki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej. ,kolor: czarny
Black pumps,420,   D02287,https://baldowski.b-cdn.net/8127-new_cart_photo/black-pumps.jpg,"36,38",,,"Black pumps on a 7,5-centimeter heel. ",Made of natural leather., black
Pumps nude colour,350,   D03194-4330-001,https://baldowski.b-cdn.net/9113-new_cart_photo/pumps-nude-colour.jpg,"36,37,40",,,"Pumps nude colour on a 7,5-centimeter heel.", Made of natural leather.,colour: nude
Sandals beige,330,   D02599-3436-001,https://baldowski.b-cdn.net/6450-new_cart_photo/sandals-beige.jpg,"36,41",,,Sandals beige colour on a 9-centimeter heel. ,"Made of natural leather, suede.", beige
Sandals beige,500,   D02599-3436-004,https://baldowski.b-cdn.net/8605-new_cart_photo/sandals-beige.jpg,"37,38,39,40,35 ON REQUEST,36 ON REQUEST,41 ON REQUEST",,,Sandals beige colour on a 9-centimeter heel. ,Made of natural leather, beige
Sandals green,390,   D02599-3436-006,https://baldowski.b-cdn.net/8862-new_cart_photo/sandals-green.jpg,37,,,Sandals green colour on a 9-centimeter heel. ,Made of natural leather., green
Sandals blue,390,   D02599-3436-005,https://baldowski.b-cdn.net/8782-new_cart_photo/sandals-blue.jpg,"36,38,39,40",,,Sandals blue colour on a 9-centimeter heel. ,Made of natural leather., blue
Sandals black,380,   D02599-3436-003,https://baldowski.b-cdn.net/6448-new_cart_photo/sandals-black.jpg,"36,37,40",,,Sandals black colour on a 9-centimeter heel. ,"Made of natural leather, suede.", black
Gold coloured sandals,490,   D03167-3436-002,https://baldowski.b-cdn.net/8497-new_cart_photo/gold-coloured-sandals.jpg,"40,41",,,Gold coloured sandals on a 9-centimeter heel. ,Made of natural leather., gold
Silver coloured sandals,490,   D03167-3436-001,https://baldowski.b-cdn.net/8646-new_cart_photo/silver-coloured-sandals.jpg,"37,38,39,41,35 ON REQUEST,36 ON REQUEST,40 ON REQUEST",,,Silver coloured sandals on a 9-centimeter heel. ,Made of natural leather., silver
White sandals,540,   D03105-3436-006,https://baldowski.b-cdn.net/8798-new_cart_photo/white-sandals.jpg,"36,37,38,39,40,41",,,White sandals on a 9-centimeter heel. ,Made of natural leather., white
Gold coloured sandals,530,   D03105-3436-005,https://baldowski.b-cdn.net/10079-new_cart_photo/gold-coloured-sandals.jpg,"36,37,38,40,41,35 ON REQUEST,39 ON REQUEST",,,Gold coloured sandals on a 9-centimeter heel. ,Made of natural leather., gold
Sandals black,440,   D01340-3436-013,https://baldowski.b-cdn.net/6265-new_cart_photo/sandals-black.jpg,"36,40",,,Sandals black colour on a 9-centimeter heel. ,"Made of natural leather, suede.", black
Sandals fushia colour,420,   D01340-3436-017,https://baldowski.b-cdn.net/6531-new_cart_photo/sandals-fushia-colour.jpg,36,,,Sandals fuschia colour on a 9-centimeter heel. ,Made of natural leather., fuchsia
White sandals,420,   D01340-3436-023,https://baldowski.b-cdn.net/3168-new_cart_photo/white-sandals.jpg,39,,,White sandals on a 9-centimeter heel. ,Made of natural leather., white
White sandals,500,   D01340-3436-008,https://baldowski.b-cdn.net/6719-new_cart_photo/white-sandals.jpg,"37,40,35 ON REQUEST,36 ON REQUEST,38 ON REQUEST,39 ON REQUEST,41 ON REQUEST",,,White sandals on a 9-centimeter heel. ,Made of natural leather., white
Silver coloured sandals,420,   D01340-3436-001,https://baldowski.b-cdn.net/5907-new_cart_photo/silver-coloured-sandals.jpg,"36,38,39,41",,,Silver coloured sandals on a 9-centimeter heel. ,Made of natural leather., silver
Gold coloured sandals,500,   D01340-3436-002,https://baldowski.b-cdn.net/5905-new_cart_photo/gold-coloured-sandals.jpg,"36,38,39,40,41,35 ON REQUEST,37 ON REQUEST",,,Gold coloured sandals on a 9-centimeter heel. ,Made of natural leather., gold
Sandals black,670,   D03083-3436-001,https://baldowski.b-cdn.net/9995-new_cart_photo/sandals-black.jpg,"36,38,39,40,41",,,Sandals black colour on a 9-centimeter heel. ,"Made of natural leather, suede.", black
Black slippers,420,   D03056-4330-005,https://baldowski.b-cdn.net/9887-new_cart_photo/black-slippers.jpg,"36,37,38,39,40",,,"Black slippersr on a 7,5-centimeter heel. ",Made of natural leather, black
Olive slippers,420,   D03056-4330-004,https://baldowski.b-cdn.net/9879-new_cart_photo/olive-slippers.jpg,"37,39,40",,,"Olive slippersr on a 7,5-centimeter heel. ",Made of natural leather, olive
Sandals black,390,   D03133-7633-002,https://baldowski.b-cdn.net/9756-new_cart_photo/sandals-black.jpg,36,,,Sandals black on a 7-centimeter heel. ,Made of natural leather., black
Sandals beige,430,   D03133-7633-004,https://baldowski.b-cdn.net/9065-new_cart_photo/sandals-beige.jpg,"36,37",,,Sandals beige colour on a 7-centimeter heel. ,Made of natural leather, beige
Sandals pink,390,   D03133-7633-003,https://baldowski.b-cdn.net/8912-new_cart_photo/sandals-pink.jpg,36,,,Sandals pink on a 7-centimeter heel. ,Made of natural leather., pink
Sandals black,430,   D03115-7633-005,https://baldowski.b-cdn.net/8814-new_cart_photo/sandals-black.jpg,"36,37,39",,,Sandals black on a 7-centimeter heel. ,Made of natural leather., black
Sandals beige,430,   D03115-7633-004,https://baldowski.b-cdn.net/9049-new_cart_photo/sandals-beige.jpg,"36,37,39",,,Sandals beige colour on a 7-centimeter heel. ,Made of natural leather, beige
Sandals pink,360,   D03115-7633-006,https://baldowski.b-cdn.net/9057-new_cart_photo/sandals-pink.jpg,"37,40",,,Sandals pink on a 7-centimeter heel. ,Made of natural leather., pink
