kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
SANDAŁY I KLAPKI,Sandały szare,530,,   D02417- 3436-005,"https://baldowski.b-cdn.net/6292-new_cart_photo/sandały-szare.jpg,https://baldowski.b-cdn.net/6294-new_cart_photo/sandały-szare.jpg","36,37,38,39",Sandały szare na 9-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, skóry naturalnej zamsz.", szary
SANDAŁY I KLAPKI,Sandały czarne,600,,   D02417- 3436-011/P2,"https://baldowski.b-cdn.net/7865-new_cart_photo/sandały-czarne.jpg,https://baldowski.b-cdn.net/7867-new_cart_photo/sandały-czarne.jpg","35,36,37,38,39,40,41",Sandały czarne na 9-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, skóry naturalnej zamsz.", czarny
SANDAŁY I KLAPKI,Sandały nude,600,,   D02417-3436-023,"https://baldowski.b-cdn.net/10047-new_cart_photo/sandały-nude.jpg,https://baldowski.b-cdn.net/10049-new_cart_photo/sandały-nude.jpg","38,40",Sandały w kolorze nude na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej., nude
SANDAŁY I KLAPKI,Sandały złote,670,,   D02417- 3436-016,"https://baldowski.b-cdn.net/8335-new_cart_photo/sandały-złote.jpg,https://baldowski.b-cdn.net/8336-new_cart_photo/sandały-złote.jpg",39,Sandały złote na 9-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, skóry naturalnej.", złoty
SANDAŁY I KLAPKI,Sandały na szpilce białe,600,,   D02417-3436-018,"https://baldowski.b-cdn.net/8904-new_cart_photo/sandały-na-szpilce-białe.jpg,https://baldowski.b-cdn.net/8906-new_cart_photo/sandały-na-szpilce-białe.jpg","40,41",Sandały na szpilce na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
SANDAŁY I KLAPKI,Szpilki złote,490,"590,00 ",   D01511-7137 -008/S04,"https://baldowski.b-cdn.net/4108-new_cart_photo/szpilki-zlote.jpg,https://baldowski.b-cdn.net/4109-new_cart_photo/szpilki-zlote.jpg",37,Złote buty na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., złoty
SANDAŁY I KLAPKI,Sandały białe,590,,   D01511-3436-033,"https://baldowski.b-cdn.net/6799-new_cart_photo/sandały-białe.jpg,https://baldowski.b-cdn.net/6800-new_cart_photo/sandały-białe.jpg",40,Sandały białe na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
SANDAŁY I KLAPKI,Sandały na szpilce czarne,560,,   DO1511-3436-026/p2,"https://baldowski.b-cdn.net/10606-new_cart_photo/sandały-na-szpilce-czarne.jpg,https://baldowski.b-cdn.net/10607-new_cart_photo/sandały-na-szpilce-czarne.jpg","35,36,37,38,39,40,41",Sandały czarne na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., czarny
SANDAŁY I KLAPKI,Sandały złoto-srebrne,590,,   D01511-3436-034,"https://baldowski.b-cdn.net/8327-new_cart_photo/sandaly-zloto-srebrne.jpg,https://baldowski.b-cdn.net/8329-new_cart_photo/sandaly-zloto-srebrne.jpg",39,Złote buty na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., złoto-srebrny
SANDAŁY I KLAPKI,Sandały srebrne,590,,   D01511-3436-015,"https://baldowski.b-cdn.net/9125-new_cart_photo/sandaly-srebrne.jpg,https://baldowski.b-cdn.net/9127-new_cart_photo/sandaly-srebrne.jpg","36,37,38,41",Sandały na szpilce na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., srebrny
SANDAŁY I KLAPKI,Sandały na szpilce platynowe,670,,   D01511-3436-011,"https://baldowski.b-cdn.net/8822-new_cart_photo/sandaly-na-szpilce-platynowe.jpg,https://baldowski.b-cdn.net/8824-new_cart_photo/sandaly-na-szpilce-platynowe.jpg","36,37,38,39",Sandały na szpilce na 9-centymetrowym obcasie., wykonane ze skóry naturalnej.,platynowy
