kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
BIUROWE,Czółenka czarne,560,,   D02341-4330-014,"https://baldowski.b-cdn.net/10039-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/10041-new_cart_photo/czolenka-czarne.jpg","36,37,38,39","Czarne buty na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BIUROWE,Czółenka w kolorze camel,560,,   D02341-4330-002/N,"https://baldowski.b-cdn.net/10114-new_cart_photo/czolenka-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/10116-new_cart_photo/czolenka-w-kolorze-camel.jpg","36,37,38,40","Buty w kolorze camel na 7,5-centymetrowym obcasie.", wykonane ze skóry naturalnej., camel
BIUROWE,Czółenka multicolor,460,"560,00 ",   D03179-4330-004,"https://baldowski.b-cdn.net/9855-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/9857-new_cart_photo/czolenka-multicolor.jpg","36,38","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multicolor
BIUROWE,Czółenka  nude,350,"450,00 ",   D03194-4330-001,"https://baldowski.b-cdn.net/9113-new_cart_photo/czolenka-nude.jpg,https://baldowski.b-cdn.net/9115-new_cart_photo/czolenka-nude.jpg","36,37","Czółenka w kolorze nude na 7,5-centymetrowym obcasie.", wykonane ze skóry naturalnej., nude
BIUROWE,Czółenka multicolor,430,"530,00 ",   D03194-4330-002,"https://baldowski.b-cdn.net/9915-new_cart_photo/czolenka-multicolor.jpg,https://baldowski.b-cdn.net/9917-new_cart_photo/czolenka-multicolor.jpg","36,37,38,39","Czółenka multicolor  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multicolor
BIUROWE,Czółenka czarne,200,"450,00 ",   D02344-7633-001/S01,"https://baldowski.b-cdn.net/3381-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/3382-new_cart_photo/czolenka-czarne.jpg","36,38","Czarne buty na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BIUROWE,Czółenka camel jasny,220,"420,00 ",   W00022-1576-004,"https://baldowski.b-cdn.net/7168-new_cart_photo/czółenka-camel-jasny.jpg,https://baldowski.b-cdn.net/7170-new_cart_photo/czółenka-camel-jasny.jpg",36,Czółenka w kolorze camelu na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., camel jasny
BIUROWE,Szpilki granatowe,420,,   D03246-2835-002,"https://baldowski.b-cdn.net/9198-new_cart_photo/szpilki-granatowe.jpg,https://baldowski.b-cdn.net/9200-new_cart_photo/szpilki-granatowe.jpg","35,36,37,38",Szpilki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., ciemny granatowy
BIUROWE,Szpilki czarne,520,,   D02816-2835-001,"https://baldowski.b-cdn.net/7980-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7981-new_cart_photo/szpilki-czarne.jpg","36,39,41",Szpilki czarne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej i zamszowej., czarny
BIUROWE,Szpilki w kolorze rudym,520,,   D02816-2835-002,"https://baldowski.b-cdn.net/8047-new_cart_photo/szpilki-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/8049-new_cart_photo/szpilki-w-kolorze-rudym.jpg","36,39,40,41",Szpilki w kolorze rudym na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej i zamszowej., rudy
CZÓŁENKA,Czółenka fioletowe,420,,   W00447-4298-007/D,"https://baldowski.b-cdn.net/9246-new_cart_photo/czolenka-fioletowe.jpg,https://baldowski.b-cdn.net/9248-new_cart_photo/czolenka-fioletowe.jpg",36,Czółenka na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., fioletowy
BIUROWE,Szpilki czarne,490,,   D02443-2835-006,"https://baldowski.b-cdn.net/6588-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/5516-new_cart_photo/szpilki-czarne.jpg","35,37,39,41",Czarne szpilki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czarne,490,,   D02443-2835-009,"https://baldowski.b-cdn.net/7433-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7434-new_cart_photo/szpilki-czarne.jpg","35,36,38,39,40,41",Szpilki czarne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej i zamszowej., czarny
BIUROWE,Szpilki zielone,490,,   D02443-2835-007,"https://baldowski.b-cdn.net/5527-new_cart_photo/szpilki-zielone.jpg,https://baldowski.b-cdn.net/5529-new_cart_photo/szpilki-zielone.jpg","36,37,40,41",Zielone szpilki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., zielony
BIUROWE,Szpilki czarne,490,,   D01545-3359-001,"https://baldowski.b-cdn.net/8698-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/8700-new_cart_photo/szpilki-czarne.jpg","36,37,40,41",Szpilki czarne na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czerwone,490,,   D01545-1577-011,"https://baldowski.b-cdn.net/8952-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/8954-new_cart_photo/szpilki-czerwone.jpg","35,37,38,39,40,41",Szpilki czerwone na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czerwone
BIUROWE,Szpilki camel,490,,   D01545-3359-007,"https://baldowski.b-cdn.net/8839-new_cart_photo/szpilki-camel.jpg,https://baldowski.b-cdn.net/8840-new_cart_photo/szpilki-camel.jpg","36,37,39,40,41",Szpilki camel na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., camel
BIUROWE,Szpilki nude,490,,   D01545-3359-010,"https://baldowski.b-cdn.net/8706-new_cart_photo/szpilki-nude.jpg,https://baldowski.b-cdn.net/8708-new_cart_photo/szpilki-nude.jpg","36,37,38,40,41",Szpilki w kolorze nude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., nude
BIUROWE,Szpilki nude,490,,   D01545-1577-010,"https://baldowski.b-cdn.net/8944-new_cart_photo/szpilki-nude.jpg,https://baldowski.b-cdn.net/8946-new_cart_photo/szpilki-nude.jpg","37,39,40,41",Szpilki w kolorze nude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., nude
BIUROWE,Czółenka czerwono-złote,390,"540,00 ",   D00580-1459-051,"https://baldowski.b-cdn.net/7441-new_cart_photo/czółenka-czerwono-złote.jpg,https://baldowski.b-cdn.net/7443-new_cart_photo/czółenka-czerwono-złote.jpg",37,Czółenka czerwono-złote na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czerwono-złoty
BIUROWE,Czółenka multicolor,350,"450,00 ",   D00580-1459-049,"https://baldowski.b-cdn.net/7417-new_cart_photo/czółenka-multicolor.jpg,https://baldowski.b-cdn.net/7419-new_cart_photo/czółenka-multicolor.jpg",39,Czółenka multicolor na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multicolor
BIUROWE,Czółenka czarno-złote,390,"540,00 ",   D00580-1459-039,"https://baldowski.b-cdn.net/7402-new_cart_photo/czółenka-czarno-złote.jpg,https://baldowski.b-cdn.net/7407-new_cart_photo/czółenka-czarno-złote.jpg",39,Czółenka czarno-złote na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarno-złoty
BIUROWE,Czółenka czarno-srebrne,390,"540,00 ",   D00580-1459-040,"https://baldowski.b-cdn.net/7409-new_cart_photo/czółenka-czarno-srebrne.jpg,https://baldowski.b-cdn.net/7411-new_cart_photo/czółenka-czarno-srebrne.jpg","37,39",Czółenka czarno-srebrne na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarno-srebrny
BIUROWE,Czółenka w kolorze rudym,490,,   D00580-1459-050,"https://baldowski.b-cdn.net/7425-new_cart_photo/-czółenka-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/7427-new_cart_photo/-czółenka-w-kolorze-rudym.jpg",39,Czółenka w kolorze rudym  na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., rudy
BIUROWE,Czółenka nude,430,,   D00580-1459-055,"https://baldowski.b-cdn.net/8552-new_cart_photo/czółenka-nude.jpg,https://baldowski.b-cdn.net/8554-new_cart_photo/czółenka-nude.jpg","37,38",Czółenka w kolorze nude na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., nude
BIUROWE,Czółenka grafitowe,490,,   L00014-1459-007,"https://baldowski.b-cdn.net/10096-new_cart_photo/czółenka-grafitowe-aw.jpg,https://baldowski.b-cdn.net/10098-new_cart_photo/czółenka-grafitowe-aw.jpg","36,37,39,40,41",Czółenka grafitowe na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., grafit
BIUROWE,Czółenka czarne,490,,   D00580-1459-044 / D00580 lakier czarny,"https://baldowski.b-cdn.net/9659-new_cart_photo/czółenka-czarne.jpg,https://baldowski.b-cdn.net/9661-new_cart_photo/czółenka-czarne.jpg","37,39,40",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Czółenka czarne,490,,   D00580-1459-002,"https://baldowski.b-cdn.net/7141-new_cart_photo/czółenka-czarne.jpg,https://baldowski.b-cdn.net/7143-new_cart_photo/czółenka-czarne.jpg","36,37,39,40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Czółenka czarne,510,,   D02316-3262-011,"https://baldowski.b-cdn.net/4756-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/4758-new_cart_photo/czolenka-czarne.jpg","36,37,40,41",Czarne czółenka na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czarne,520,,   D02728-1451-018/D02728 czarny lakier,"https://baldowski.b-cdn.net/9165-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/9167-new_cart_photo/szpilki-czarne.jpg","35,37,38,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czarne,520,,   D02728-1451-001,"https://baldowski.b-cdn.net/8225-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/8227-new_cart_photo/szpilki-czarne.jpg","36,37,39,40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czarne,440,,   W00472-1451-001,"https://baldowski.b-cdn.net/2967-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/2968-new_cart_photo/szpilki-czarne.jpg","37,40",Czarne buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czarne,420,,   D03053-1451-004,"https://baldowski.b-cdn.net/8241-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/8243-new_cart_photo/szpilki-czarne.jpg","40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czerwone,510,,   D01468-1451-026,"https://baldowski.b-cdn.net/6403-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/6405-new_cart_photo/szpilki-czerwone.jpg","36,37,38,39,40",Czerwone buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czerwony
BIUROWE,Szpilki czarne,510,,   D01468-1451-024,"https://baldowski.b-cdn.net/6399-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/6401-new_cart_photo/szpilki-czarne.jpg","38,40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki bordowe,490,,   D00580-1451-274,"https://baldowski.b-cdn.net/8936-new_cart_photo/szpilki-bordowe.jpg,https://baldowski.b-cdn.net/8938-new_cart_photo/szpilki-bordowe.jpg","36,37,38,39,40",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., bordowy
BIUROWE,Szpilki granatowe,490,,   D00580-1451-114,"https://baldowski.b-cdn.net/5887-new_cart_photo/szpilki-granatowe.jpg,https://baldowski.b-cdn.net/5886-new_cart_photo/szpilki-granatowe.jpg",36,Granatowe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., granatowy
BIUROWE,Szpilki czarne,490,,   D00580-1451-055,"https://baldowski.b-cdn.net/5930-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/5882-new_cart_photo/szpilki-czarne.jpg","35,36,37,38,39,40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czarne,490,,   D00580-1451-025/143,"https://baldowski.b-cdn.net/6379-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/6381-new_cart_photo/szpilki-czarne.jpg","35,36,40",Czarne szpilki na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki czerwone,490,,   D00580-1451-154,"https://baldowski.b-cdn.net/3648-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/3649-new_cart_photo/szpilki-czerwone.jpg","37,38,39,40",Czerwone buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czerwony
BIUROWE,Szpilki granatowe,490,,   D00580-1451-121,"https://baldowski.b-cdn.net/3628-new_cart_photo/szpilki-granatowe.jpg,https://baldowski.b-cdn.net/3630-new_cart_photo/szpilki-granatowe.jpg","40,41",Granatowe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., granatowy
BIUROWE,Szpilki czarne,490,,   D00580-1451-127,"https://baldowski.b-cdn.net/6570-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/6572-new_cart_photo/szpilki-czarne.jpg","39,40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BIUROWE,Szpilki zielone,490,,   D00580-1451-129,"https://baldowski.b-cdn.net/6383-new_cart_photo/szpilki-zielone.jpg,https://baldowski.b-cdn.net/6384-new_cart_photo/szpilki-zielone.jpg","36,38,40,41",Zielone buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., zielony
BIUROWE,Szpilki bordowe,420,,   D00580-1451-149,"https://baldowski.b-cdn.net/10198-new_cart_photo/szpilki-bordowe.jpg,https://baldowski.b-cdn.net/10200-new_cart_photo/szpilki-bordowe.jpg","36,40",Bordowe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., bordowy
BIUROWE,Szpilki w kolorze cappuccino,490,,   D00580-1451-156,"https://baldowski.b-cdn.net/3750-new_cart_photo/szpilki-w-kolorze-cappuccino.jpg,https://baldowski.b-cdn.net/3751-new_cart_photo/szpilki-w-kolorze-cappuccino.jpg","39,40,41",Szpilki w kolorze cappuccino na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., cappuccino
BIUROWE,Szpilki w kolorze rudym,490,,   D00580-1451-183,"https://baldowski.b-cdn.net/5372-new_cart_photo/szpilki-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/5373-new_cart_photo/szpilki-w-kolorze-rudym.jpg","40,41",Rude buty na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., rudy
BY MACIEJ ZIEŃ,Botki czarne,390,"1 300,00 ",   Z00047-1281-S06,"https://baldowski.b-cdn.net/4092-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/4093-new_cart_photo/botki-czarne.jpg","36,38,39,40",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BY MACIEJ ZIEŃ,Botki zielone,390,"950,00 ",   Z00047-1281-zielony,"https://baldowski.b-cdn.net/7016-new_cart_photo/botki-zielone.jpg,https://baldowski.b-cdn.net/7017-new_cart_photo/botki-zielone.jpg",41,Botki zielone na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., zielony
BY MACIEJ ZIEŃ,Botki czarne,390,"850,00 ",   Z00047-1281-S02,"https://baldowski.b-cdn.net/3906-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/3907-new_cart_photo/botki-czarne.jpg","36,37,39",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BY MACIEJ ZIEŃ,Botki w multikolorze,390,"1 300,00 ",   Z00047-1281-S07,"https://baldowski.b-cdn.net/4928-new_cart_photo/botki-w-multikolorze.jpg,https://baldowski.b-cdn.net/4077-new_cart_photo/botki-w-multikolorze.jpg","36,40",Buty w multikolorze na 11-centymetrowym obcasie.,Wykonane ze skóry naturalnej., multikolor
BY MACIEJ ZIEŃ,Botki różowe,390,"850,00 ",   Z00047-1281-S04,"https://baldowski.b-cdn.net/3902-new_cart_photo/botki-rozowe.jpg,https://baldowski.b-cdn.net/3903-new_cart_photo/botki-rozowe.jpg","39,40",Różowe buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., różowy
BY MACIEJ ZIEŃ,Szpilki niebieskie,615,,   Z00826,"https://baldowski.b-cdn.net/4908-new_cart_photo/szpilki-niebieskie.jpg,https://baldowski.b-cdn.net/4909-new_cart_photo/szpilki-niebieskie.jpg",36,"Niebieskie buty na 9,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., niebieski
BY MACIEJ ZIEŃ,Szpilki złote,615,,   Z00826-1279-002,"https://baldowski.b-cdn.net/4916-new_cart_photo/szpilki-zlote.jpg,https://baldowski.b-cdn.net/4917-new_cart_photo/szpilki-zlote.jpg","38,39,41","Złote buty na 9,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., złoty
BY MACIEJ ZIEŃ,Szpilki w kolorze nude,615,,   Z00826-1279-014,"https://baldowski.b-cdn.net/4026-new_cart_photo/szpilki-w-kolorze-nude.jpg,https://baldowski.b-cdn.net/4027-new_cart_photo/szpilki-w-kolorze-nude.jpg",41,"Buty w kolorze nude na 9,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., nude
BY MACIEJ ZIEŃ,Szpilki zielone,615,,   Z00826-1279-015,"https://baldowski.b-cdn.net/4023-new_cart_photo/szpilki-zielone.jpg,https://baldowski.b-cdn.net/4024-new_cart_photo/szpilki-zielone.jpg","35,41","Zielone buty na 9,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., zielony
BY MACIEJ ZIEŃ,Szpilki czarne,450,"940,00 ",   Z00035-4170-S05,"https://baldowski.b-cdn.net/4047-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/4048-new_cart_photo/szpilki-czarne.jpg","38,39","Czarne buty na 10,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BY MACIEJ ZIEŃ,Szpilki czerwone,450,"630,00 ",   Z00033-4170-S02,"https://baldowski.b-cdn.net/7081-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/7083-new_cart_photo/szpilki-czerwone.jpg",37,Szpilki czerwone na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czerwony
BY MACIEJ ZIEŃ,Szpilki srebrne,350,"835,00 ",   Z00033-4170-S04,"https://baldowski.b-cdn.net/4068-new_cart_photo/szpilki-srebrne.jpg,https://baldowski.b-cdn.net/4069-new_cart_photo/szpilki-srebrne.jpg","39,40",Srebrne buty na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., srebrny
BY MACIEJ ZIEŃ,Szpilki różowe,450,"690,00 ",   Z00032-4170-S01,"https://baldowski.b-cdn.net/3894-new_cart_photo/szpilki-rozowe.jpg,https://baldowski.b-cdn.net/3895-new_cart_photo/szpilki-rozowe.jpg","35,38",Różowe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., pudrowy róż
BY MACIEJ ZIEŃ,Szpilki czarne,630,,   Z00049-4170-S03,"https://baldowski.b-cdn.net/3886-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/3887-new_cart_photo/szpilki-czarne.jpg","36,38",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BY MACIEJ ZIEŃ,Szpilki srebrne,650,,   Z00049-4170-S05,"https://baldowski.b-cdn.net/6695-new_cart_photo/szpilki-srebrne.jpg,https://baldowski.b-cdn.net/6697-new_cart_photo/szpilki-srebrne.jpg",36,Buty srebrnena 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i materiału., srebrny
BY MACIEJ ZIEŃ,Szpilki szare,630,,   Z00049-4170-S02,"https://baldowski.b-cdn.net/3878-new_cart_photo/szpilki-szare.jpg,https://baldowski.b-cdn.net/3879-new_cart_photo/szpilki-szare.jpg","35,41",Szare buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., szary
BY MACIEJ ZIEŃ,Szpilki różowe,630,,   Z00049-4170-S01,"https://baldowski.b-cdn.net/3882-new_cart_photo/szpilki-rozowe.jpg,https://baldowski.b-cdn.net/3883-new_cart_photo/szpilki-rozowe.jpg",38,Różowe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., różowy
BY MACIEJ ZIEŃ,Szpilki szare,580,,   Z00801-3514-002,"https://baldowski.b-cdn.net/4900-new_cart_photo/szpilki-szare.jpg,https://baldowski.b-cdn.net/4901-new_cart_photo/szpilki-szare.jpg",41,"Szare buty na 8,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., szary
BY MACIEJ ZIEŃ,Szpilki szare,615,,   Z00580-3504-001,"https://baldowski.b-cdn.net/4007-new_cart_photo/szpilki-szare.jpg,https://baldowski.b-cdn.net/4008-new_cart_photo/szpilki-szare.jpg",41,"Szare buty na 9,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., szary
BY MACIEJ ZIEŃ,Szpilki ecru,615,,   Z00580-3504-002,"https://baldowski.b-cdn.net/4904-new_cart_photo/szpilki-ecru.jpg,https://baldowski.b-cdn.net/4905-new_cart_photo/szpilki-ecru.jpg",41,"Buty w kolorze ecru na 9,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., ecru
BY MACIEJ ZIEŃ,Szpilki czarne,730,,   Z00580-4170-S06,"https://baldowski.b-cdn.net/7584-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7586-new_cart_photo/szpilki-czarne.jpg","37,38,40",Szpilki by maciej zień na 10-centymetrowym obcasie. ,"Wykonane ze skóry naturalnej, aksamitu.", czarny
BY MACIEJ ZIEŃ,Szpilki granatowe,730,,   Z00580-4170-S09,"https://baldowski.b-cdn.net/7560-new_cart_photo/szpilki-granatowe.jpg,https://baldowski.b-cdn.net/7562-new_cart_photo/szpilki-granatowe.jpg",37,Szpilki by maciej zień.,"Wykonane ze skóry naturalnej, aksamitu.", granatowy
BY MACIEJ ZIEŃ,Szpilki czarne,840,,   Z00062-4170-S01,"https://baldowski.b-cdn.net/7493-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7495-new_cart_photo/szpilki-czarne.jpg","37,38,39,40,41",Szpilki by maciej zień.,Wykonane ze skóry naturalnej., czarny
BY MACIEJ ZIEŃ,Szpilki czarne,730,,   Z00067-4170-S01,"https://baldowski.b-cdn.net/7536-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7538-new_cart_photo/szpilki-czarne.jpg",37,Szpilki by maciej zień na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BY MACIEJ ZIEŃ,Szpilki szare,970,,   Z00066-4170-S01,"https://baldowski.b-cdn.net/7517-new_cart_photo/szpilki-szare.jpg,https://baldowski.b-cdn.net/7519-new_cart_photo/szpilki-szare.jpg","38,39",Szpilki by maciej zień., wykonane ze skóry naturalnej., szary
BY MACIEJ ZIEŃ,Sandały multicolor,450,"1 180,00 ",   Z00828-1281-S11,"https://baldowski.b-cdn.net/3933-new_cart_photo/sandaly-multicolor.jpg,https://baldowski.b-cdn.net/3934-new_cart_photo/sandaly-multicolor.jpg",40,Buty w multikolorze na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multikolor
BY MACIEJ ZIEŃ,Ssandały multicolor,450,"1 180,00 ",   Z00828-1281-S09,"https://baldowski.b-cdn.net/3937-new_cart_photo/ssandaly-multicolor.jpg,https://baldowski.b-cdn.net/3938-new_cart_photo/ssandaly-multicolor.jpg",38,Buty w multikolorze na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multikolor
BY MACIEJ ZIEŃ,Sandały w multikolorze,450,"1 180,00 ",   Z00828-1281-S12,"https://baldowski.b-cdn.net/4064-new_cart_photo/sandaly-w-multikolorze.jpg,https://baldowski.b-cdn.net/4065-new_cart_photo/sandaly-w-multikolorze.jpg","37,38,39,40",Buty w multikolorze na 11-centymetrowym obcasie., wykonane ze skóry naturalnej., multikolor
BY MACIEJ ZIEŃ,Sandały czarne,1100,,   Z00064-2876-S01,"https://baldowski.b-cdn.net/7501-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/7511-new_cart_photo/sandaly-czarne.jpg","36,37,39,40,41",Sandały na szpilce by maciej zień.,Wykonane ze skóry naturalnej., czarny
BY MACIEJ ZIEŃ,Sandały nude,650,,   Z00052-1281-003,"https://baldowski.b-cdn.net/6983-new_cart_photo/sandaly-nude.jpg,https://baldowski.b-cdn.net/6984-new_cart_photo/sandaly-nude.jpg",37,Sandały nude by maciej zień.,Wykonane ze skóry naturalnej., nude
BY MACIEJ ZIEŃ,Sandały różowe,630,,   Z00055-1281-S03,"https://baldowski.b-cdn.net/3961-new_cart_photo/sandaly-rozowe.jpg,https://baldowski.b-cdn.net/3962-new_cart_photo/sandaly-rozowe.jpg",41,Sandały różowe by maciej zień.,Wykonane ze skóry naturalnej., różowy
BY MACIEJ ZIEŃ,Sandały białe,650,,   Z00052-1281-S04,"https://baldowski.b-cdn.net/3917-new_cart_photo/sandaly-białe.jpg,https://baldowski.b-cdn.net/3918-new_cart_photo/sandaly-białe.jpg",41,Sandały białe by maciej zień.,Wykonane ze skóry naturalnej., biały
BY MACIEJ ZIEŃ,Sandały nude,650,,   Z00052-1281-S06,"https://baldowski.b-cdn.net/3923-new_cart_photo/sandaly-nude.jpg,https://baldowski.b-cdn.net/3921-new_cart_photo/sandaly-nude.jpg",38,Sandały w kolorze nude by maciej zień.,Wykonane ze skóry naturalnej., nude
BY MACIEJ ZIEŃ,Sandały metalik beż,650,,   Z00052-1281-S07,"https://baldowski.b-cdn.net/7041-new_cart_photo/sandaly-metalik-bez.jpg,https://baldowski.b-cdn.net/7040-new_cart_photo/sandaly-metalik-bez.jpg",37,Sandały metalik by maciej zień.,Wykonane ze skóry naturalnej., metalik beż
BY MACIEJ ZIEŃ,Sandały złote,650,,   Z00052-1281-S01,"https://baldowski.b-cdn.net/3913-new_cart_photo/sandaly-zlote.jpg,https://baldowski.b-cdn.net/3914-new_cart_photo/sandaly-zlote.jpg",40,Sandały złote by maciej zień.,Wykonane ze skóry naturalnej., złoty
BY MACIEJ ZIEŃ,Sandały nude,650,,   Z00052-1281-S02/004,"https://baldowski.b-cdn.net/3929-new_cart_photo/sandaly-nude.jpg,https://baldowski.b-cdn.net/3930-new_cart_photo/sandaly-nude.jpg","37,38,40",Sandały w kolorze nude by maciej zień.,Wykonane ze skóry naturalnej., nude
BY MACIEJ ZIEŃ,Sandały srebrne,720,,   Z00051-1281-S05,"https://baldowski.b-cdn.net/3981-new_cart_photo/sandaly-srebrne.jpg,https://baldowski.b-cdn.net/3982-new_cart_photo/sandaly-srebrne.jpg",36,Sandały srebrne by maciej zień.,Wykonane ze skóry naturalnej., srebrny
